Feature,Before,After
0 , 840 , 841.2
1 , 840 , 870.0
2 , 870 , 870.0
3 , 870 , 870.0
4 , 900 , 870.0
5 , 900 , 870.0
6 , 900 , 873.0
7 , 900 , 886.2
8 , 900 , 901.2
9 , 930 , 901.2
10 , 930 , 901.2
11 , 930 , 901.2
12 , 930 , 901.2
13 , 960 , 901.2
14 , 960 , 916.8
15 , 960 , 916.8
16 , 960 , 916.8
17 , 990 , 916.8
18 , 990 , 926.7
19 , 990 , 927.6
20 , 1020 , 927.6
21 , 1020 , 927.6
22 , 1020 , 927.6
23 , 1020 , 927.6
24 , 1050 , 927.6
25 , 1050 , 930.0
26 , 1050 , 930.0
27 , 1080 , 930.0
28 , 1080 , 930.9
29 , 1080 , 930.9
30 , 1110 , 930.9
31 , 1110 , 930.9
32 , 1110 , 932.7
33 , 1140 , 932.7
34 , 1140 , 936.3
35 , 1170 , 936.3
36 , 1170 , 936.3
37 , 1170 , 936.3
38 , 1200 , 936.3
39 , 1200 , 950.7
40 , 1200 , 959.7
41 , 1230 , 959.7
42 , 1230 , 971.1
43 , 1260 , 971.1
44 , 1290 , 971.1
45 , 1320 , 971.1
46 , 1320 , 984.3
47 , 1350 , 984.3
48 , 1380 , 984.3
49 , 1410 , 986.7
50 , 1410 , 988.2
51 , 1410 , 1011.0
52 , 1620 , 1014.0
53 , 1680 , 1014.0
54 , 1680 , 1014.0
55 , 1710 , 1019.4
56 , 1770 , 1019.4
57 , 1770 , 1019.4
58 , 1770 , 1037.7
59 , 1800 , 1080.6
60 , 1830 , 1098.9
61 , 1830 , 1102.5
62 , 1860 , 1108.8
63 , 1890 , 1110.3
64 , 1890 , 1110.3
65 , 1890 , 1111.8
66 , 1920 , 1118.1
67 , 1920 , 1133.1
68 , 1920 , 1133.1
69 , 1950 , 1140.0
70 , 1950 , 1142.7
71 , 1980 , 1161.9
72 , 1980 , 1165.8
73 , 1980 , 1184.4
74 , 2010 , 1184.4
75 , 2040 , 1217.1
76 , 2040 , 1217.1
77 , 2070 , 1217.1
78 , 2070 , 1240.2
79 , 2100 , 1267.2
80 , 2130 , 1311.9
81 , 2130 , 1311.9
82 , 2130 , 1365.9
83 , 2160 , 1422.9
84 , 2190 , 1448.7
85 , 2190 , 1448.7
86 , 2190 , 1620.0
87 , 2220 , 1620.0
88 , 2250 , 1620.0
89 , 2280 , 1862.4
90 , 2280 , 1891.2
91 , 2370 , 1891.2
92 , 2400 , 1891.2
93 , 2430 , 1945.2
94 , 2460 , 2021.1
95 , 2490 , 2021.1
